content_id,title,address,content_type_id,category,lat,lng,image_url,geometry_type,check_in_enabled,check_in_radius_m,review_status,review_note
3038260,"국립기상박물관","서울특별시 종로구 송월동 1-1 국립기상박물관",14,"문화시설",37.571416,126.966261,"http://tong.visitkorea.or.kr/cms/resource/38/3456038_image2_1.jpg",POINT,true,100,VERIFIED,"보행자 정문 계단 및 주 출입문 좌표 검수 완료 (인증 활성화)"
2553377,"김달진미술자료박물관","서울특별시 종로구 홍지문1길 4 (홍지동)",14,"문화시설",37.600033,126.956657,"http://tong.visitkorea.or.kr/cms/resource/70/3412170_image2_1.JPG",POINT,true,100,VERIFIED,"홍지문1길 미술관 주 출입구 보행로 좌표 검수 완료 (인증 활성화)"
2707460,"딜쿠샤","서울특별시 종로구 사직로2길 17 (행촌동)",14,"문화시설",37.573019,126.963513,"http://tong.visitkorea.or.kr/cms/resource/61/3573161_image2_1.jpg",POINT,true,100,VERIFIED,"보행자 진입 계단 및 정문 앞 광장 좌표 검수 완료 (인증 활성화)"
231976,"목인박물관 목석원","서울특별시 종로구 창의문로5길 46-1 (부암동)",14,"문화시설",37.588998,126.963259,"http://tong.visitkorea.or.kr/cms/resource/15/3540815_image2_1.jpg",POINT,true,100,VERIFIED,"부암동 목석원 매표소 및 주 출입구 좌표 검수 완료 (인증 활성화)"
130931,"삼성출판박물관","서울특별시 종로구 비봉길 2-2 (구기동)",14,"문화시설",37.608746,126.95704,"http://tong.visitkorea.or.kr/cms/resource/50/3540850_image2_1.jpg",POINT,true,100,VERIFIED,"비봉길 박물관 정문 출입구 앞 좌표 검수 완료 (인증 활성화)"
2993396,"상촌재","서울특별시 종로구 자하문로17길 12-11 (옥인동)",12,"관광지",37.581903,126.969585,"http://tong.visitkorea.or.kr/cms/resource/04/3056504_image2_1.jpg",POINT,true,100,VERIFIED,"서촌 한옥 문화공간 주 출입 대문 앞 좌표 검수 완료 (인증 활성화)"
2774283,"선바위(선암)","서울특별시 종로구 통일로18가길 26 (무악동)",12,"관광지",37.578997,126.95897,"http://tong.visitkorea.or.kr/cms/resource/55/3412155_image2_1.JPG",AREA,false,100,VERIFIED_AREA,"인왕산 야외 기암괴석 지대로 등산로 접근성 고려해 탐색 전용 유지"
130688,"세계장신구박물관","서울특별시 종로구 북촌로5나길 2 (화동)",14,"문화시설",37.581011,126.981762,"http://tong.visitkorea.or.kr/cms/resource/63/3574663_image2_1.jpg",POINT,true,100,VERIFIED,"화동 골목 박물관 1층 출입구 앞 좌표 검수 완료 (인증 활성화)"
2554142,"유금와당박물관","서울특별시 종로구 창의문로11가길 4 (부암동)",14,"문화시설",37.593672,126.962685,"http://tong.visitkorea.or.kr/cms/resource/81/3384781_image2_1.JPG",POINT,true,100,VERIFIED,"부암동 박물관 보행자 출입문 앞 좌표 검수 완료 (인증 활성화)"
2993372,"윤동주 하숙집 터","서울특별시 종로구 옥인길 57",12,"관광지",37.58148,126.965722,"http://tong.visitkorea.or.kr/cms/resource/61/3536361_image2_1.jpg",POINT,true,60,VERIFIED,"서촌 골목길 벽면 표지석 앞 보행 안전 고려 반경 60m 적용 (인증 활성화)"
2739478,"전태일기념관","서울특별시 종로구 청계천로 105 (관수동)",14,"문화시설",37.568373,126.989235,"http://tong.visitkorea.or.kr/cms/resource/26/3412126_image2_1.JPG",POINT,true,100,VERIFIED,"청계천로변 보행자 주 출입구 앞 좌표 검수 완료 (인증 활성화)"
129804,"짚풀생활사박물관","서울특별시 종로구 성균관로4길 45 (명륜2가)",14,"문화시설",37.584918,126.999983,"http://tong.visitkorea.or.kr/cms/resource/26/3540826_image2_1.jpg",POINT,true,100,VERIFIED,"명륜동 박물관 정문 계단 앞 좌표 검수 완료 (인증 활성화)"
2657713,"채석장 전망대","서울특별시 종로구 낙산5길 51 (창신동)",12,"관광지",37.578309,127.011612,"http://tong.visitkorea.or.kr/cms/resource/03/3384903_image2_1.JPG",AREA,false,100,VERIFIED_AREA,"낙산 절벽 전망대 지형 및 야간 안전 고려 탐색 전용 유지"
482153,"청룡사(서울)","서울특별시 종로구 동망산길 65 (숭인동)",12,"관광지",37.579995,127.016707,"http://tong.visitkorea.or.kr/cms/resource/73/3530773_image2_1.jpg",AREA,false,100,VERIFIED_AREA,"사찰 경내 넓은 부지 및 종교시설 이용 예절 고려 탐색 전용 유지"
2783558,"필운동 홍건익 가옥","서울특별시 종로구 필운대로1길 14-4",12,"관광지",37.577972,126.968897,"http://tong.visitkorea.or.kr/cms/resource/50/3535950_image2_1.jpg",POINT,true,100,VERIFIED,"등록문화재 한옥 솟을대문 주 출입구 앞 좌표 검수 완료 (인증 활성화)"
